nohup: Eingabe wird ignoriert
68 Dateien, 7.32 GB
68 offen, 6 Threads
     1/68  Vita Object Loader                 2.2 MB
     2/68  Very Obscure Souls                51.1 MB
     3/68  My Bakku Pakku                    51.1 MB
     4/68  Sunshine Cat                      53.3 MB
     5/68  Tricky Towers Endless Race        51.9 MB
     6/68  Torn                              53.3 MB
     7/68  Vita Fighters                     51.8 MB
     8/68  RollyPoly                         53.4 MB
     9/68  Animal Vitas                      53.6 MB
    10/68  UFE                               54.5 MB
    11/68  Have a Good One!                  56.3 MB
    12/68  MKMayhem                          55.8 MB
    13/68  Where The F*ck Did I Get These    55.7 MB
    14/68  Slender - The Eight Pages         56.7 MB
    15/68  Undead Slayer                     59.4 MB
    16/68  Ghost of Tsushima Mini Games      59.5 MB
    17/68  Ars Poetica                       61.3 MB
    18/68  Simple FPS Platformer             61.2 MB
    19/68  Sorcerer's job Vita               62.3 MB
    20/68  Resident Evil CODE:Vita           62.4 MB
    21/68  Angel Collide                     63.2 MB
    22/68  Going Nowhere                     65.1 MB
    23/68  Road of Mailhem                   65.0 MB
    24/68  Brain Splitter                    65.5 MB
    25/68  FEHLER BonkBots!                HTTP Error 404: NOT FOUND
    26/68  Thrust Shot                       66.2 MB
    27/68  Beat Master                       67.3 MB
    28/68  To Pieces                         67.6 MB
    29/68  Tropical Zone                     68.0 MB
    30/68  Five Night at Freddy's 4 Lite     68.3 MB
    31/68  Five Nights at Freddy's           69.8 MB
    32/68  Another Metroid 2 Remake          70.4 MB
    33/68  Sonic Unleashed                   70.7 MB
    34/68  BubblePunk                        73.6 MB
    35/68  The Enchanted Forest              74.3 MB
    36/68  Dream Punk                        76.7 MB
    37/68  Hit'em balls                      77.0 MB
    38/68  Clasherball                       77.3 MB
    39/68  PS Scene Quiz                     83.4 MB
    40/68  Five Night at Freddy's 2 Lite     81.8 MB
    41/68  Lost on Island                    83.6 MB
    42/68  FALLEN KNIGHTS                    86.4 MB
    43/68  Purified                          84.2 MB
    44/68  Rocket Cars Vita                  87.7 MB
    45/68  Pinkshake                         93.7 MB
    46/68  The Legend of Edgar               91.4 MB
    47/68  Sonic Time Twisted                97.4 MB
    48/68  Speedrun Vita                     99.2 MB
    49/68  The Great Adventures of NedMap   106.7 MB
    50/68  The Hallway                      108.7 MB
    51/68  The Four of Us Are Dying         114.1 MB
    52/68  Dark Paradigm                    120.0 MB
    53/68  ScummVM                          123.9 MB
    54/68  DooM Vita                        121.5 MB
    55/68  SanicBall PSVita                 124.0 MB
    56/68  I Was Rebuilt                    135.1 MB
    57/68  ScummVM Buildbot                 138.6 MB
    58/68  Call of Vita: Hackzone           143.0 MB
    59/68  Gnomopolis                       145.3 MB
    60/68  Lapy Games Collection            148.5 MB
    61/68  Emu4Vita++                       159.1 MB
    62/68  We Are Broken                    206.0 MB
    63/68  Katawa Shoujo                    216.8 MB
    64/68  Sonic Vitality                   247.7 MB
    65/68  Katawa Shoujo r7                 426.3 MB
    66/68  RetroArch                        464.7 MB
    67/68  Kill Em All                      483.5 MB
    68/68  FEHLER Everlasting Summer Vita  Command '['gh', 'release', 'upload', 'mirror'
apps.json: 66 Eintraege umgestellt
---
gespiegelt: 66, fehlgeschlagen: 2
